KB,Inferring time (ms), Adding atoms (ms), Inferred axioms
./evaluation/KB/dogs_100.ttl, 147, 6, 41
./evaluation/KB/dogs_102400.ttl, 20724, 15079, 43871
./evaluation/KB/dogs_12800.ttl, 3158, 2079, 5335
./evaluation/KB/dogs_1600.ttl, 561, 259, 696
./evaluation/KB/dogs_1.ttl, 137, 3, 2
./evaluation/KB/dogs_200.ttl, 245, 30, 90
./evaluation/KB/dogs_204800.ttl, 45638, 35314, 87533
./evaluation/KB/dogs_25600.ttl, 5982, 3958, 10912
./evaluation/KB/dogs_3200.ttl, 1000, 483, 1316
./evaluation/KB/dogs_400.ttl, 229, 33, 183
./evaluation/KB/dogs_409600.ttl, 95695, 75091, 175193
./evaluation/KB/dogs_50.ttl, 248, 9, 22
./evaluation/KB/dogs_51200.ttl, 10517, 7488, 21837
./evaluation/KB/dogs_6400.ttl, 1700, 1080, 2767
./evaluation/KB/dogs_800.ttl, 300, 73, 296
./evaluation/KB/dogs_819200.ttl, 212492, 170458, 350156
./evaluation/KB/dogs_100.ttl, 156, 6, 41
./evaluation/KB/dogs_102400.ttl, 19596, 14422, 43871
./evaluation/KB/dogs_12800.ttl, 2906, 1968, 5335
./evaluation/KB/dogs_1600.ttl, 569, 226, 696
./evaluation/KB/dogs_1.ttl, 131, 1, 2
./evaluation/KB/dogs_200.ttl, 198, 15, 90
./evaluation/KB/dogs_204800.ttl, 41427, 31727, 87533
./evaluation/KB/dogs_25600.ttl, 5017, 3535, 10912
./evaluation/KB/dogs_3200.ttl, 1007, 562, 1316
./evaluation/KB/dogs_400.ttl, 198, 18, 183
./evaluation/KB/dogs_409600.ttl, 86657, 67627, 175193
./evaluation/KB/dogs_50.ttl, 139, 9, 22
./evaluation/KB/dogs_51200.ttl, 9687, 6970, 21837
./evaluation/KB/dogs_6400.ttl, 1462, 838, 2767
./evaluation/KB/dogs_800.ttl, 282, 87, 296
./evaluation/KB/dogs_819200.ttl, 178902, 140606, 350156
./evaluation/KB/dogs_100.ttl, 144, 5, 41
./evaluation/KB/dogs_102400.ttl, 19798, 14785, 43871
./evaluation/KB/dogs_12800.ttl, 2987, 2057, 5335
./evaluation/KB/dogs_1600.ttl, 570, 249, 696
./evaluation/KB/dogs_1.ttl, 153, 4, 2
./evaluation/KB/dogs_200.ttl, 167, 8, 90
./evaluation/KB/dogs_204800.ttl, 40024, 30340, 87533
./evaluation/KB/dogs_25600.ttl, 5125, 3516, 10912
./evaluation/KB/dogs_3200.ttl, 985, 428, 1316
./evaluation/KB/dogs_400.ttl, 226, 20, 183
./evaluation/KB/dogs_409600.ttl, 95684, 75245, 175193
./evaluation/KB/dogs_50.ttl, 200, 11, 22
./evaluation/KB/dogs_51200.ttl, 9467, 6571, 21837
./evaluation/KB/dogs_6400.ttl, 1518, 925, 2767
./evaluation/KB/dogs_800.ttl, 306, 81, 296
./evaluation/KB/dogs_819200.ttl, 189768, 151521, 350156
./evaluation/KB/dogs_100.ttl, 155, 7, 41
./evaluation/KB/dogs_102400.ttl, 20724, 15490, 43871
./evaluation/KB/dogs_12800.ttl, 2989, 1936, 5335
./evaluation/KB/dogs_1600.ttl, 578, 250, 696
./evaluation/KB/dogs_1.ttl, 99, 2, 2
./evaluation/KB/dogs_200.ttl, 185, 12, 90
./evaluation/KB/dogs_204800.ttl, 43270, 32969, 87533
./evaluation/KB/dogs_25600.ttl, 5413, 3793, 10912
./evaluation/KB/dogs_3200.ttl, 931, 394, 1316
./evaluation/KB/dogs_400.ttl, 240, 23, 183
./evaluation/KB/dogs_409600.ttl, 89016, 69732, 175193
