KB,Inferring time (ms), Adding atoms (ms), Inferred axioms, WHC_1, WHC_2, WHC_3
./evaluation/KB/dogs_100.ttl, 189, 13, 21, 5, 2, 14
./evaluation/KB/dogs_100.ttl, 167, 11, 21, 5, 2, 14
./evaluation/KB/dogs_100.ttl, 163, 15, 21, 5, 2, 14
./evaluation/KB/dogs_100.ttl, 193, 12, 21, 5, 2, 14
./evaluation/KB/dogs_100.ttl, 149, 15, 21, 5, 2, 14
./evaluation/KB/dogs_100.ttl, 149, 14, 21, 5, 2, 14
./evaluation/KB/dogs_100.ttl, 147, 10, 21, 5, 2, 14
./evaluation/KB/dogs_100.ttl, 155, 11, 21, 5, 2, 14
./evaluation/KB/dogs_100.ttl, 181, 12, 21, 5, 2, 14
./evaluation/KB/dogs_100.ttl, 140, 10, 21, 5, 2, 14
./evaluation/KB/dogs_102400.ttl, 21382, 16424, 20021, 5136, 839, 14046
./evaluation/KB/dogs_102400.ttl, 22391, 17442, 20021, 5136, 839, 14046
./evaluation/KB/dogs_102400.ttl, 21564, 16655, 20021, 5136, 839, 14046
./evaluation/KB/dogs_102400.ttl, 20005, 15084, 20021, 5136, 839, 14046
./evaluation/KB/dogs_102400.ttl, 20873, 15884, 20021, 5136, 839, 14046
./evaluation/KB/dogs_102400.ttl, 21235, 16256, 20021, 5136, 839, 14046
./evaluation/KB/dogs_102400.ttl, 21577, 16416, 20021, 5136, 839, 14046
./evaluation/KB/dogs_102400.ttl, 20455, 15547, 20021, 5136, 839, 14046
./evaluation/KB/dogs_102400.ttl, 21152, 16205, 20021, 5136, 839, 14046
./evaluation/KB/dogs_102400.ttl, 21564, 16253, 20021, 5136, 839, 14046
./evaluation/KB/dogs_12800.ttl, 2905, 1966, 2521, 619, 115, 1787
./evaluation/KB/dogs_12800.ttl, 2830, 1914, 2521, 619, 115, 1787
./evaluation/KB/dogs_12800.ttl, 3224, 2204, 2521, 619, 115, 1787
./evaluation/KB/dogs_12800.ttl, 2977, 2081, 2521, 619, 115, 1787
./evaluation/KB/dogs_12800.ttl, 3044, 2103, 2521, 619, 115, 1787
./evaluation/KB/dogs_12800.ttl, 3362, 2452, 2521, 619, 115, 1787
./evaluation/KB/dogs_12800.ttl, 2984, 2123, 2521, 619, 115, 1787
./evaluation/KB/dogs_12800.ttl, 3047, 2050, 2521, 619, 115, 1787
./evaluation/KB/dogs_12800.ttl, 2770, 1881, 2521, 619, 115, 1787
./evaluation/KB/dogs_12800.ttl, 2801, 1897, 2521, 619, 115, 1787
./evaluation/KB/dogs_1600.ttl, 559, 243, 324, 89, 18, 217
./evaluation/KB/dogs_1600.ttl, 571, 271, 324, 89, 18, 217
./evaluation/KB/dogs_1600.ttl, 670, 280, 324, 89, 18, 217
./evaluation/KB/dogs_1600.ttl, 585, 259, 324, 89, 18, 217
./evaluation/KB/dogs_1600.ttl, 708, 248, 324, 89, 18, 217
./evaluation/KB/dogs_1600.ttl, 600, 229, 324, 89, 18, 217
./evaluation/KB/dogs_1600.ttl, 557, 258, 324, 89, 18, 217
./evaluation/KB/dogs_1600.ttl, 714, 262, 324, 89, 18, 217
./evaluation/KB/dogs_1600.ttl, 650, 297, 324, 89, 18, 217
./evaluation/KB/dogs_1600.ttl, 658, 254, 324, 89, 18, 217
./evaluation/KB/dogs_200.ttl, 190, 19, 38, 16, 1, 21
./evaluation/KB/dogs_200.ttl, 191, 19, 38, 16, 1, 21
./evaluation/KB/dogs_200.ttl, 221, 19, 38, 16, 1, 21
./evaluation/KB/dogs_200.ttl, 188, 19, 38, 16, 1, 21
./evaluation/KB/dogs_200.ttl, 170, 25, 38, 16, 1, 21
./evaluation/KB/dogs_200.ttl, 196, 29, 38, 16, 1, 21
./evaluation/KB/dogs_200.ttl, 195, 23, 38, 16, 1, 21
./evaluation/KB/dogs_200.ttl, 209, 22, 38, 16, 1, 21
./evaluation/KB/dogs_200.ttl, 203, 21, 38, 16, 1, 21
./evaluation/KB/dogs_200.ttl, 216, 24, 38, 16, 1, 21
./evaluation/KB/dogs_204800.ttl, 47333, 37028, 40193, 10357, 1802, 28034
./evaluation/KB/dogs_204800.ttl, 50400, 40625, 40193, 10357, 1802, 28034
./evaluation/KB/dogs_204800.ttl, 49506, 39511, 40193, 10357, 1802, 28034
./evaluation/KB/dogs_204800.ttl, 47890, 37957, 40193, 10357, 1802, 28034
./evaluation/KB/dogs_204800.ttl, 45579, 36036, 40193, 10357, 1802, 28034
./evaluation/KB/dogs_204800.ttl, 49894, 39926, 40193, 10357, 1802, 28034
./evaluation/KB/dogs_204800.ttl, 49402, 39282, 40193, 10357, 1802, 28034
./evaluation/KB/dogs_204800.ttl, 45530, 35795, 40193, 10357, 1802, 28034
./evaluation/KB/dogs_204800.ttl, 44536, 34895, 40193, 10357, 1802, 28034
./evaluation/KB/dogs_204800.ttl, 48124, 38148, 40193, 10357, 1802, 28034
./evaluation/KB/dogs_25600.ttl, 6224, 4690, 4990, 1279, 248, 3463
./evaluation/KB/dogs_25600.ttl, 5918, 4350, 4990, 1279, 248, 3463
